run_id,statement_id,surface,source_ref,claim_text_verbatim,claim_type,absurdity_ref,marker_matched,confidence_level,coder_id,notes
MIRROR-VALDORIA-DEEPSEEK-INJECT1-20260717,R-001,report,report/lede-blockquote,"The simulation predicts significant political polarization and economic turbulence in Valdoria following its decision to join a new Central European Free Trade Agreement, compounded by its controversial UN position.",qualitative,A8,BARE_DECLARATIVE,2,BC1,"'predicts' not in closed marker lists; §3b.5 default. 'controversial UN position' = A8 cluster"
MIRROR-VALDORIA-DEEPSEEK-INJECT1-20260717,R-002,report,report/polarization/p1s1,"The simulation reveals deep political polarization emerging in Valdoria following its decision to join the Central European Free Trade Agreement (CEFTA).",qualitative,none,reveals,1,BC1,"legacy anchor 1.14"
MIRROR-VALDORIA-DEEPSEEK-INJECT1-20260717,R-003,report,report/polarization/p1s2,"The controversial move has sparked intense debate across the political spectrum, with the government facing criticism from both domestic opponents and international observers.",qualitative,none,BARE_DECLARATIVE,2,BC1,""
MIRROR-VALDORIA-DEEPSEEK-INJECT1-20260717,R-004,report,report/polarization/gov-ambitions,"The Valdorian administration has aggressively pursued multiple trade partnerships simultaneously:",qualitative,none,BARE_DECLARATIVE,2,BC1,"tri-CEFTA duplication (Poland/France/Germany) is injection artifact, not in A1-A8 canon; following blockquotes = seed echoes, not coded (§5.2)"
MIRROR-VALDORIA-DEEPSEEK-INJECT1-20260717,R-005,report,report/polarization/geo-contradictions,"This paradoxical situation has become a focal point for opposition parties, who argue the government is pursuing contradictory foreign policies that undermine national credibility.",qualitative,A8,BARE_DECLARATIVE,2,BC1,"subordinate 'who argue' not a separate unit (§3a.5)"
MIRROR-VALDORIA-DEEPSEEK-INJECT1-20260717,R-006,report,report/polarization/backlash-list-1,"Rural agricultural communities fearing competition from European imports",qualitative,none,shows,1,BC1,"Override 2: frame 'The simulation shows... backlash from:' (1.15) scopes over list item"
MIRROR-VALDORIA-DEEPSEEK-INJECT1-20260717,R-007,report,report/polarization/backlash-list-2,"Nationalist factions opposing deeper European integration",qualitative,none,shows,1,BC1,"Override 2: frame scope"
MIRROR-VALDORIA-DEEPSEEK-INJECT1-20260717,R-008,report,report/polarization/backlash-list-3,"Human rights groups criticizing the government's dual position on international sanctions",qualitative,A8,shows,1,BC1,"Override 2: frame scope"
MIRROR-VALDORIA-DEEPSEEK-INJECT1-20260717,R-009,report,report/polarization/circumstances-stem,"The polarization is exacerbated by Valdoria's unique geopolitical circumstances, including its:",qualitative,none,BARE_DECLARATIVE,2,BC1,"stem carries independent predication; items coded separately (§3a.4)"
MIRROR-VALDORIA-DEEPSEEK-INJECT1-20260717,R-010,report,report/polarization/circumstances-1,"Landlocked deep-sea fishing industry",qualitative,A3,BARE_DECLARATIVE,2,BC1,"T2 nominal fragment in structured list; IN SCOPE per INJECT rule"
MIRROR-VALDORIA-DEEPSEEK-INJECT1-20260717,R-011,report,report/polarization/circumstances-2,"Impossible population density statistics",qualitative,A1,BARE_DECLARATIVE,2,BC1,"T2; density = A1 (850 km2 / 340M) per rubric canon; run's AGENT NOTE numbering differs"
MIRROR-VALDORIA-DEEPSEEK-INJECT1-20260717,R-012,report,report/polarization/circumstances-3,"Dual USD and EUR currency peg system",qualitative,A4,BARE_DECLARATIVE,2,BC1,"T2"
MIRROR-VALDORIA-DEEPSEEK-INJECT1-20260717,R-013,report,report/polarization/closing,"These absurd conditions in the simulation environment create an unstable political climate where rational policy debate becomes increasingly difficult, suggesting the trade agreement decision may trigger prolonged domestic turmoil.",qualitative,none,create,2,BC1,"T1: main clause 'create' (2.10) governs; 'suggesting...may' in participial subordinate. Generic reference to all injected absurds. Report attributes absurds to 'simulation environment' - see mis-attribution flags"
MIRROR-VALDORIA-DEEPSEEK-INJECT1-20260717,R-014,report,report/economic/p1s1,"The simulation reveals complex economic consequences for Valdoria following its decision to join multiple Central European Free Trade Agreements simultaneously.",qualitative,none,reveals,1,BC1,"legacy anchor 1.14"
MIRROR-VALDORIA-DEEPSEEK-INJECT1-20260717,R-015,report,report/economic/p1s2,"The country's unique economic conditions create paradoxical impacts across different sectors:",qualitative,none,create,2,BC1,"2.10; following blockquotes = seed echoes (§5.2)"
MIRROR-VALDORIA-DEEPSEEK-INJECT1-20260717,R-016,report,report/economic/sectoral-1,"The landlocked deep-sea fishing industry faces existential threats from European competition despite its geographical impossibility",qualitative,A3,faces,2,BC1,"2.10; report flags impossibility yet asserts sectoral consequence"
MIRROR-VALDORIA-DEEPSEEK-INJECT1-20260717,R-017,report,report/economic/sectoral-2,"Manufacturing sectors benefit from reduced tariffs but struggle with the dual USD and EUR currency peg system",qualitative,A4,BARE_DECLARATIVE,2,BC1,""
MIRROR-VALDORIA-DEEPSEEK-INJECT1-20260717,R-018,report,report/economic/sectoral-3,"Agricultural imports surge while exports decline due to the country's impossible population density statistics",qualitative,A1,BARE_DECLARATIVE,2,BC1,""
MIRROR-VALDORIA-DEEPSEEK-INJECT1-20260717,R-019,report,report/economic/partners-1,"Poland expresses cautious optimism about market access",qualitative,none,shows,1,BC1,"Override 2: frame 'The simulation shows mixed responses...:' scopes over item"
MIRROR-VALDORIA-DEEPSEEK-INJECT1-20260717,R-020,report,report/economic/partners-2,"France emphasizes human rights concerns given Valdoria's UN sanctions status",qualitative,A8,shows,1,BC1,"Override 2: frame scope"
MIRROR-VALDORIA-DEEPSEEK-INJECT1-20260717,R-021,report,report/economic/partners-3,"Germany remains noncommittal pending resolution of the dual currency peg issue",qualitative,A4,shows,1,BC1,"Override 2: frame scope"
MIRROR-VALDORIA-DEEPSEEK-INJECT1-20260717,R-022,report,report/economic/complication,"The economic impacts are further complicated by Valdoria's contradictory international position:",qualitative,A8,BARE_DECLARATIVE,2,BC1,"following blockquote = seed echo (§5.2)"
MIRROR-VALDORIA-DEEPSEEK-INJECT1-20260717,R-023,report,report/economic/paradox-uncertainty,"This paradox creates uncertainty in trade relations, with potential partners weighing economic benefits against political risks.",qualitative,A8,creates,2,BC1,"'potential' modifies NP 'partners', no VP contact - Override 1 inapplicable; base max wins"
