run_id,statement_id,surface,source_ref,claim_text_verbatim,claim_type,absurdity_ref,marker_matched,confidence_level,coder_id,notes
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,R-001,report,Lede,"The simulation predicts significant political and economic turbulence for Valdoria following its decision to join a new Central European Free Trade Agreement, compounded by contradictory international sanctions.",qualitative,A8,BARE_DECLARATIVE,2,C2,"'predicts' not in any closed list; §3b5 default; A8=contradictory sanctions motif"
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,R-002,report,Political Fallout from Trade Agreement Decision,"The simulation reveals significant political divisions emerging in Valdoria following the trade agreement announcement.",qualitative,none,1.14 reveals,1,C2,"legacy anchor 1.14"
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,R-003,report,Political Fallout from Trade Agreement Decision,"While the government strongly supports the move, opposition factions are mobilizing against it:",qualitative,none,BARE_DECLARATIVE,2,C2,"per §6 ex.7; markerless declarative"
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,R-004,report,Political Fallout from Trade Agreement Decision,"Political opposition may arise from domestic industries concerned about increased competition, as well as from nationalist factions prioritizing protectionist policies.",qualitative,none,0.1 may arise,0,C2,""
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,R-005,report,Political Fallout from Trade Agreement Decision,"We anticipate measured opposition from constitutional monarchists who traditionally favor more cautious approaches to international commitments.",qualitative,none,1.3 anticipate,1,C2,"T4 quote internal marker; §6 ex.9"
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,R-006,report,Political Fallout from Trade Agreement Decision,"Frame the agreement as essential for economic modernization and regional integration.",qualitative,none,BARE_DECLARATIVE,2,C2,"OOS? §5.6 imperative/recommendation; coded as given per §3a6"
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,R-007,report,Political Fallout from Trade Agreement Decision,"This agreement aligns perfectly with Valdoria's long-term goals of regional economic integration and sustainable development.",qualitative,none,BARE_DECLARATIVE,2,C2,"'perfectly' not in §2 L3 closed list; T4 quote; bare present"
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,R-008,report,Political Fallout from Trade Agreement Decision,"It advances our strategic vision of becoming a hub for international trade while maintaining our commitment to human rights and labor standards.",qualitative,none,BARE_DECLARATIVE,2,C2,"T4 quote; bare present"
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,R-009,report,Political Fallout from Trade Agreement Decision,"Express sovereignty concerns and protectionist arguments.",qualitative,none,BARE_DECLARATIVE,2,C2,"OOS? §5.6 imperative/recommendation; coded as given per §3a6"
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,R-010,report,Political Fallout from Trade Agreement Decision,"Political opposition may come from domestic industries fearing increased competition, particularly in sectors where Valdoria lacks comparative advantage.",qualitative,none,0.1 may come,0,C2,""
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,R-011,report,Political Fallout from Trade Agreement Decision,"There could also be resistance from nationalist factions concerned about sovereignty implications.",qualitative,none,0.3 could be,0,C2,""
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,R-012,report,Political Fallout from Trade Agreement Decision,"The decision occurs amid contradictory international pressures:",qualitative,A8,BARE_DECLARATIVE,2,C2,"bare present; A8=contradictory pressures/sanctions motif"
